Serial Number: 1642-0005
Battery Status: 90.9 %
Description: 39-78
Product Code: EI-HS-D-32-L
Index	Elapsed  Time	Date	Time	Air Temp ( XC)	Humidity (%RH)
154	 00:15:18	2024/2/6	 U   02:26:18	23.1	58.3
155	 00:15:24	2024/2/6	 U   02:26:24	23.1	58.4
156	 00:15:30	2024/2/6	 U   02:26:30	23.1	58.5
157	 00:15:36	2024/2/6	 U   02:26:36	23.1	58.5
158	 00:15:42	2024/2/6	 U   02:26:42	23.1	58.5
159	 00:15:48	2024/2/6	 U   02:26:48	23.1	58.5
160	 00:15:54	2024/2/6	 U   02:26:54	23.1	58.5
161	 00:16:00	2024/2/6	 U   02:27:00	23.1	58.6
162	 00:16:06	2024/2/6	 U   02:27:06	23.1	58.6
163	 00:16:12	2024/2/6	 U   02:27:12	23.1	58.8
164	 00:16:18	2024/2/6	 U   02:27:18	23.1	58.9
165	 00:16:24	2024/2/6	 U   02:27:24	23.1	59.0
166	 00:16:30	2024/2/6	 U   02:27:30	23.1	59.0
167	 00:16:36	2024/2/6	 U   02:27:36	23.1	59.0
168	 00:16:42	2024/2/6	 U   02:27:42	23.0	59.5
169	 00:16:48	2024/2/6	 U   02:27:48	23.0	59.7
170	 00:16:54	2024/2/6	 U   02:27:54	23.0	59.7
171	 00:17:00	2024/2/6	 U   02:28:00	23.0	59.6
172	 00:17:06	2024/2/6	 U   02:28:06	23.0	59.6
173	 00:17:12	2024/2/6	 U   02:28:12	23.1	59.7
174	 00:17:18	2024/2/6	 U   02:28:18	23.1	59.5
175	 00:17:24	2024/2/6	 U   02:28:24	23.0	59.5
176	 00:17:30	2024/2/6	 U   02:28:30	23.1	59.5
177	 00:17:36	2024/2/6	 U   02:28:36	23.1	59.4
178	 00:17:42	2024/2/6	 U   02:28:42	23.1	59.4
179	 00:17:48	2024/2/6	 U   02:28:48	23.1	59.4
180	 00:17:54	2024/2/6	 U   02:28:54	23.1	59.5
181	 00:18:00	2024/2/6	 U   02:29:00	23.1	59.6
182	 00:18:06	2024/2/6	 U   02:29:06	23.1	59.7
183	 00:18:12	2024/2/6	 U   02:29:12	23.1	59.8
184	 00:18:18	2024/2/6	 U   02:29:18	23.1	60.3
185	 00:18:24	2024/2/6	 U   02:29:24	23.1	60.3
186	 00:18:30	2024/2/6	 U   02:29:30	23.1	60.3
187	 00:18:36	2024/2/6	 U   02:29:36	23.1	60.2
188	 00:18:42	2024/2/6	 U   02:29:42	23.1	60.2
189	 00:18:48	2024/2/6	 U   02:29:48	23.1	60.5
190	 00:18:54	2024/2/6	 U   02:29:54	23.1	60.5
191	 00:19:00	2024/2/6	 U   02:30:00	23.0	60.6
192	 00:19:06	2024/2/6	 U   02:30:06	23.1	62.4
193	 00:19:12	2024/2/6	 U   02:30:12	23.1	61.6
194	 00:19:18	2024/2/6	 U   02:30:18	23.0	61.0
195	 00:19:24	2024/2/6	 U   02:30:24	23.1	60.7
196	 00:19:30	2024/2/6	 U   02:30:30	23.1	60.7
197	 00:19:36	2024/2/6	 U   02:30:36	23.0	60.7
198	 00:19:42	2024/2/6	 U   02:30:42	23.0	60.5
199	 00:19:48	2024/2/6	 U   02:30:48	23.0	60.4
200	 00:19:54	2024/2/6	 U   02:30:54	23.0	60.3
201	 00:20:00	2024/2/6	 U   02:31:00	23.0	60.4
202	 00:20:06	2024/2/6	 U   02:31:06	22.9	60.5
203	 00:20:12	2024/2/6	 U   02:31:12	22.9	60.5
204	 00:20:18	2024/2/6	 U   02:31:18	22.9	60.5
205	 00:20:24	2024/2/6	 U   02:31:24	22.9	60.5
206	 00:20:30	2024/2/6	 U   02:31:30	22.9	60.5
207	 00:20:36	2024/2/6	 U   02:31:36	22.9	60.5
208	 00:20:42	2024/2/6	 U   02:31:42	22.9	60.5
209	 00:20:48	2024/2/6	 U   02:31:48	22.9	60.5
210	 00:20:54	2024/2/6	 U   02:31:54	22.9	60.5
211	 00:21:00	2024/2/6	 U   02:32:00	22.9	60.6
212	 00:21:06	2024/2/6	 U   02:32:06	22.9	60.7
213	 00:21:12	2024/2/6	 U   02:32:12	22.8	60.7
214	 00:21:18	2024/2/6	 U   02:32:18	22.8	60.8
215	 00:21:24	2024/2/6	 U   02:32:24	22.8	60.8
216	 00:21:30	2024/2/6	 U   02:32:30	22.8	60.8
217	 00:21:36	2024/2/6	 U   02:32:36	22.8	60.8
218	 00:21:42	2024/2/6	 U   02:32:42	22.7	60.8
219	 00:21:48	2024/2/6	 U   02:32:48	22.8	60.8
220	 00:21:54	2024/2/6	 U   02:32:54	22.8	60.8
221	 00:22:00	2024/2/6	 U   02:33:00	22.7	60.8
222	 00:22:06	2024/2/6	 U   02:33:06	22.7	60.7
223	 00:22:12	2024/2/6	 U   02:33:12	22.8	60.8
224	 00:22:18	2024/2/6	 U   02:33:18	22.8	60.7
225	 00:22:24	2024/2/6	 U   02:33:24	22.8	60.7
226	 00:22:30	2024/2/6	 U   02:33:30	22.8	60.7
227	 00:22:36	2024/2/6	 U   02:33:36	22.8	60.7
228	 00:22:42	2024/2/6	 U   02:33:42	22.8	60.7
229	 00:22:48	2024/2/6	 U   02:33:48	22.8	60.8
230	 00:22:54	2024/2/6	 U   02:33:54	22.8	60.7
231	 00:23:00	2024/2/6	 U   02:34:00	22.8	60.7
232	 00:23:06	2024/2/6	 U   02:34:06	22.8	60.7
233	 00:23:12	2024/2/6	 U   02:34:12	22.7	60.7
234	 00:23:18	2024/2/6	 U   02:34:18	22.8	60.7
235	 00:23:24	2024/2/6	 U   02:34:24	22.7	60.7
236	 00:23:30	2024/2/6	 U   02:34:30	22.7	60.7
237	 00:23:36	2024/2/6	 U   02:34:36	22.7	60.8
238	 00:23:42	2024/2/6	 U   02:34:42	22.7	60.7
239	 00:23:48	2024/2/6	 U   02:34:48	22.7	60.7
240	 00:23:54	2024/2/6	 U   02:34:54	22.7	60.7
241	 00:24:00	2024/2/6	 U   02:35:00	22.7	60.7
242	 00:24:06	2024/2/6	 U   02:35:06	22.7	60.7
243	 00:24:12	2024/2/6	 U   02:35:12	22.7	60.8
244	 00:24:18	2024/2/6	 U   02:35:18	22.7	60.8
245	 00:24:24	2024/2/6	 U   02:35:24	22.7	60.8
246	 00:24:30	2024/2/6	 U   02:35:30	22.7	60.8
247	 00:24:36	2024/2/6	 U   02:35:36	22.7	60.8
248	 00:24:42	2024/2/6	 U   02:35:42	22.7	60.8
249	 00:24:48	2024/2/6	 U   02:35:48	22.7	60.7
250	 00:24:54	2024/2/6	 U   02:35:54	22.7	60.7
251	 00:25:00	2024/2/6	 U   02:36:00	22.8	60.7
252	 00:25:06	2024/2/6	 U   02:36:06	22.7	60.7
253	 00:25:12	2024/2/6	 U   02:36:12	22.7	60.7
254	 00:25:18	2024/2/6	 U   02:36:18	22.7	60.7
255	 00:25:24	2024/2/6	 U   02:36:24	22.7	60.8
256	 00:25:30	2024/2/6	 U   02:36:30	22.7	60.8
257	 00:25:36	2024/2/6	 U   02:36:36	22.7	60.8
258	 00:25:42	2024/2/6	 U   02:36:42	22.7	60.7
259	 00:25:48	2024/2/6	 U   02:36:48	22.7	60.7
260	 00:25:54	2024/2/6	 U   02:36:54	22.7	60.7
261	 00:26:00	2024/2/6	 U   02:37:00	22.7	60.7
262	 00:26:06	2024/2/6	 U   02:37:06	22.7	60.7
263	 00:26:12	2024/2/6	 U   02:37:12	22.7	60.7
264	 00:26:18	2024/2/6	 U   02:37:18	22.7	60.7
265	 00:26:24	2024/2/6	 U   02:37:24	22.7	60.7
266	 00:26:30	2024/2/6	 U   02:37:30	22.7	60.6
267	 00:26:36	2024/2/6	 U   02:37:36	22.7	60.7
268	 00:26:42	2024/2/6	 U   02:37:42	22.7	60.7
269	 00:26:48	2024/2/6	 U   02:37:48	22.7	60.6
270	 00:26:54	2024/2/6	 U   02:37:54	22.8	60.7
271	 00:27:00	2024/2/6	 U   02:38:00	22.8	60.8
272	 00:27:06	2024/2/6	 U   02:38:06	22.7	62.9
273	 00:27:12	2024/2/6	 U   02:38:12	22.8	62.6
274	 00:27:18	2024/2/6	 U   02:38:18	22.8	61.3
275	 00:27:24	2024/2/6	 U   02:38:24	22.8	61.1
276	 00:27:30	2024/2/6	 U   02:38:30	22.8	61.0
277	 00:27:36	2024/2/6	 U   02:38:36	22.8	61.0
278	 00:27:42	2024/2/6	 U   02:38:42	22.8	61.7
279	 00:27:48	2024/2/6	 U   02:38:48	22.8	63.8
280	 00:27:54	2024/2/6	 U   02:38:54	22.8	61.9
281	 00:28:00	2024/2/6	 U   02:39:00	22.9	64.5
282	 00:28:06	2024/2/6	 U   02:39:06	23.1	78.7
283	 00:28:12	2024/2/6	 U   02:39:12	23.1	80.3
284	 00:28:18	2024/2/6	 U   02:39:18	23.0	70.9
285	 00:28:24	2024/2/6	 U   02:39:24	23.1	65.8
286	 00:28:30	2024/2/6	 U   02:39:30	22.9	63.5
287	 00:28:36	2024/2/6	 U   02:39:36	22.9	62.3
288	 00:28:42	2024/2/6	 U   02:39:42	22.9	61.6
289	 00:28:48	2024/2/6	 U   02:39:48	22.9	61.3
290	 00:28:54	2024/2/6	 U   02:39:54	22.9	61.1
291	 00:29:00	2024/2/6	 U   02:40:00	22.9	61.0
292	 00:29:06	2024/2/6	 U   02:40:06	22.9	60.9
293	 00:29:12	2024/2/6	 U   02:40:12	22.9	60.8
294	 00:29:18	2024/2/6	 U   02:40:18	22.9	60.8
295	 00:29:24	2024/2/6	 U   02:40:24	22.8	60.8
296	 00:29:30	2024/2/6	 U   02:40:30	22.8	60.8
297	 00:29:36	2024/2/6	 U   02:40:36	22.9	60.8
298	 00:29:42	2024/2/6	 U   02:40:42	22.8	60.7
299	 00:29:48	2024/2/6	 U   02:40:48	22.8	60.7
300	 00:29:54	2024/2/6	 U   02:40:54	22.8	60.7
301	 00:30:00	2024/2/6	 U   02:41:00	22.8	60.7
302	 00:30:06	2024/2/6	 U   02:41:06	22.8	60.7
303	 00:30:12	2024/2/6	 U   02:41:12	22.8	60.7
304	 00:30:18	2024/2/6	 U   02:41:18	22.8	60.7
305	 00:30:24	2024/2/6	 U   02:41:24	22.8	60.7
306	 00:30:30	2024/2/6	 U   02:41:30	22.8	60.7
307	 00:30:36	2024/2/6	 U   02:41:36	22.8	60.8
308	 00:30:42	2024/2/6	 U   02:41:42	22.8	60.7
309	 00:30:48	2024/2/6	 U   02:41:48	22.8	60.7
310	 00:30:54	2024/2/6	 U   02:41:54	22.8	60.6
311	 00:31:00	2024/2/6	 U   02:42:00	22.8	60.6
312	 00:31:06	2024/2/6	 U   02:42:06	22.8	60.6
313	 00:31:12	2024/2/6	 U   02:42:12	22.8	60.7
314	 00:31:18	2024/2/6	 U   02:42:18	22.8	60.7
315	 00:31:24	2024/2/6	 U   02:42:24	22.8	60.7
316	 00:31:30	2024/2/6	 U   02:42:30	22.8	60.7
317	 00:31:36	2024/2/6	 U   02:42:36	22.8	60.8
318	 00:31:42	2024/2/6	 U   02:42:42	22.8	60.7
319	 00:31:48	2024/2/6	 U   02:42:48	22.8	60.6
320	 00:31:54	2024/2/6	 U   02:42:54	22.8	60.5
321	 00:32:00	2024/2/6	 U   02:43:00	22.8	60.5
322	 00:32:06	2024/2/6	 U   02:43:06	22.8	60.5
323	 00:32:12	2024/2/6	 U   02:43:12	22.8	60.6
324	 00:32:18	2024/2/6	 U   02:43:18	22.8	60.5
325	 00:32:24	2024/2/6	 U   02:43:24	22.8	60.5
326	 00:32:30	2024/2/6	 U   02:43:30	22.8	60.6
327	 00:32:36	2024/2/6	 U   02:43:36	22.8	60.5
328	 00:32:42	2024/2/6	 U   02:43:42	22.8	60.4
329	 00:32:48	2024/2/6	 U   02:43:48	22.8	60.1
330	 00:32:54	2024/2/6	 U   02:43:54	22.8	60.0
331	 00:33:00	2024/2/6	 U   02:44:00	22.7	59.9
332	 00:33:06	2024/2/6	 U   02:44:06	22.7	59.7
333	 00:33:12	2024/2/6	 U   02:44:12	22.7	59.7
334	 00:33:18	2024/2/6	 U   02:44:18	22.7	59.7
335	 00:33:24	2024/2/6	 U   02:44:24	22.7	59.8
336	 00:33:30	2024/2/6	 U   02:44:30	22.7	59.9
337	 00:33:36	2024/2/6	 U   02:44:36	22.7	60.1
338	 00:33:42	2024/2/6	 U   02:44:42	22.7	60.1
339	 00:33:48	2024/2/6	 U   02:44:48	22.7	60.1
340	 00:33:54	2024/2/6	 U   02:44:54	22.7	60.0
341	 00:34:00	2024/2/6	 U   02:45:00	22.7	59.9
342	 00:34:06	2024/2/6	 U   02:45:06	22.7	59.9
343	 00:34:12	2024/2/6	 U   02:45:12	22.7	59.8
344	 00:34:18	2024/2/6	 U   02:45:18	22.7	59.6
345	 00:34:24	2024/2/6	 U   02:45:24	22.7	59.5
346	 00:34:30	2024/2/6	 U   02:45:30	22.6	59.5
347	 00:34:36	2024/2/6	 U   02:45:36	22.7	59.5
348	 00:34:42	2024/2/6	 U   02:45:42	22.7	59.5
349	 00:34:48	2024/2/6	 U   02:45:48	22.7	59.2
350	 00:34:54	2024/2/6	 U   02:45:54	22.7	59.1
351	 00:35:00	2024/2/6	 U   02:46:00	22.6	59.1
352	 00:35:06	2024/2/6	 U   02:46:06	22.6	59.2
353	 00:35:12	2024/2/6	 U   02:46:12	22.6	59.2
354	 00:35:18	2024/2/6	 U   02:46:18	22.6	59.2
355	 00:35:24	2024/2/6	 U   02:46:24	22.6	59.2
356	 00:35:30	2024/2/6	 U   02:46:30	22.6	59.2
357	 00:35:36	2024/2/6	 U   02:46:36	22.6	59.2
358	 00:35:42	2024/2/6	 U   02:46:42	22.6	59.2
359	 00:35:48	2024/2/6	 U   02:46:48	22.6	59.2
360	 00:35:54	2024/2/6	 U   02:46:54	22.6	59.2
361	 00:36:00	2024/2/6	 U   02:47:00	22.6	59.2
362	 00:36:06	2024/2/6	 U   02:47:06	22.6	59.2
363	 00:36:12	2024/2/6	 U   02:47:12	22.6	59.2
364	 00:36:18	2024/2/6	 U   02:47:18	22.6	59.3
365	 00:36:24	2024/2/6	 U   02:47:24	22.6	59.2
366	 00:36:30	2024/2/6	 U   02:47:30	22.6	59.0
367	 00:36:36	2024/2/6	 U   02:47:36	22.6	59.1
368	 00:36:42	2024/2/6	 U   02:47:42	22.6	59.2
369	 00:36:48	2024/2/6	 U   02:47:48	22.6	59.5
370	 00:36:54	2024/2/6	 U   02:47:54	22.6	59.6
371	 00:37:00	2024/2/6	 U   02:48:00	22.6	59.6
372	 00:37:06	2024/2/6	 U   02:48:06	22.6	59.5
373	 00:37:12	2024/2/6	 U   02:48:12	22.6	59.5
374	 00:37:18	2024/2/6	 U   02:48:18	22.6	59.6
375	 00:37:24	2024/2/6	 U   02:48:24	22.6	59.6
376	 00:37:30	2024/2/6	 U   02:48:30	22.6	59.6
377	 00:37:36	2024/2/6	 U   02:48:36	22.6	59.7
378	 00:37:42	2024/2/6	 U   02:48:42	22.6	59.7
379	 00:37:48	2024/2/6	 U   02:48:48	22.6	59.7
380	 00:37:54	2024/2/6	 U   02:48:54	22.6	59.8
381	 00:38:00	2024/2/6	 U   02:49:00	22.6	59.9
382	 00:38:06	2024/2/6	 U   02:49:06	22.6	60.0
383	 00:38:12	2024/2/6	 U   02:49:12	22.6	60.0
384	 00:38:18	2024/2/6	 U   02:49:18	22.6	59.9
385	 00:38:24	2024/2/6	 U   02:49:24	22.6	59.9
386	 00:38:30	2024/2/6	 U   02:49:30	22.6	60.0
387	 00:38:36	2024/2/6	 U   02:49:36	22.6	60.0
388	 00:38:42	2024/2/6	 U   02:49:42	22.6	60.0
389	 00:38:48	2024/2/6	 U   02:49:48	22.6	60.1
390	 00:38:54	2024/2/6	 U   02:49:54	22.6	60.2
391	 00:39:00	2024/2/6	 U   02:50:00	22.6	60.2
392	 00:39:06	2024/2/6	 U   02:50:06	22.6	60.3
393	 00:39:12	2024/2/6	 U   02:50:12	22.6	60.3
394	 00:39:18	2024/2/6	 U   02:50:18	22.6	60.4
395	 00:39:24	2024/2/6	 U   02:50:24	22.6	60.4
396	 00:39:30	2024/2/6	 U   02:50:30	22.6	60.5
397	 00:39:36	2024/2/6	 U   02:50:36	22.6	60.5
398	 00:39:42	2024/2/6	 U   02:50:42	22.6	60.5
399	 00:39:48	2024/2/6	 U   02:50:48	22.6	60.5
400	 00:39:54	2024/2/6	 U   02:50:54	22.6	60.5
401	 00:40:00	2024/2/6	 U   02:51:00	22.6	60.5
402	 00:40:06	2024/2/6	 U   02:51:06	22.6	60.5
403	 00:40:12	2024/2/6	 U   02:51:12	22.6	60.7
404	 00:40:18	2024/2/6	 U   02:51:18	22.6	60.7
405	 00:40:24	2024/2/6	 U   02:51:24	22.6	60.8
406	 00:40:30	2024/2/6	 U   02:51:30	22.6	60.8
407	 00:40:36	2024/2/6	 U   02:51:36	22.6	60.8
408	 00:40:42	2024/2/6	 U   02:51:42	22.6	60.8
409	 00:40:48	2024/2/6	 U   02:51:48	22.6	61.0
410	 00:40:54	2024/2/6	 U   02:51:54	22.6	60.9
411	 00:41:00	2024/2/6	 U   02:52:00	22.6	61.1
412	 00:41:06	2024/2/6	 U   02:52:06	22.6	61.2
413	 00:41:12	2024/2/6	 U   02:52:12	22.6	67.0
414	 00:41:18	2024/2/6	 U   02:52:18	22.6	65.2
415	 00:41:24	2024/2/6	 U   02:52:24	22.6	63.0
416	 00:41:30	2024/2/6	 U   02:52:30	22.6	62.4
417	 00:41:36	2024/2/6	 U   02:52:36	22.6	62.2
418	 00:41:42	2024/2/6	 U   02:52:42	22.6	61.9
